"Nome";"categoria";"descrizione";"Metodiche di lavorazione conservazione e stagionatura";"materiali e attrezzature per la preparazione";"Locali di lavorazione conservazione e stagionatura";"territorio interessato"
"ANGUILLA DEL TRASIMENO (Anguilla anguilla)";"PREPARAZIONI DI PESCI, MOLLUSCHI E CROSTACEI";"Corpo allungato, serpentiforme, rotondeggiante nella parte anteriore e compresso in quella posteriore. Coperto di piccole squame e abbondante muco. Può assumere vari colori, dorsalmente può essere bruno/verdastra, grigio/brunastra o nerastra, sul ventre bianca/giallastra. I maschi hanno delle dimensioni che vanno dai 35 ai 50 cm, le femmine dai 100 ai 150 cm. Carni ottime, pregiate, grasse e saporite.";"Stagione adatta alla pesca: estate, autunno. Tecniche di pesca: tofo, tofone, fila, palamite (attrezzo da pesca formato da un insieme di ami montati ad intervalli regolari su un cavetto chiamato trave, per mezzo di spezzoni di filo chiamati braccioli). Esche: lombrico, gamberetto, latterino, lasca, tinchetta. Si pesca anche con canna da fondo – filo: 0,25/0,35 – ami: m. 6/9 – esche: lombrico, interiora di pollo. La pesca viene effettuata al crepuscolo o di notte. Spesso dopo la pesca viene lavorata in laboratori artigianali annessi ai punti vendita autorizzati ai sensi della L. 283/62, seguendo queste fasi: decapitazione, eviscerazione, spellatura, confezionamento, congelamento in tunnel ventilato, stoccaggio in celle frigo (18°C).";"E’ consuetudine mantenere esemplari vivi in vasche di vetroresina idonee all’uso.";"Locali, materiali ed attrezzature per la manipolazione e conservazione dell’alimento possiedono i requisiti previsti dalle seguenti norme: L. 283/62, DPR 327/80, D. Lgs 155/97. Il congelamento avviene con tunnel ventilato di piccole capacità, limitatamente al pescato proveniente dalle acque del Lago Trasimeno. Questa soluzione tecnologica è l’unica che, al momento, permette di ottenere una riserva di alimento per soddisfare i fabbisogni del mercato locale con turn-over del prodotto di circa due-tre mesi e, comunque, l’unica adatta ai quantitativi medi disponibili.";"Lago Trasimeno"
"ATTORTA";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Dolce composto da una pasta sfoglia ripiena di mele e altri ingredienti, arrotolata su se stessa a forma di spirale.";"Ingredienti: mele tagliate a cubetti, zucchero, cacao amaro e/o cioccolato fondente grattugiato, scorza di limone grattugiata, noci tritate, rhum e/o alchermes, olio d’oliva. Varianti: agli ingredienti sopra riportati si aggiungono pinoli e/o amaretti tritati e/o canditi e/o fichi secchi, “mustaccioli”, confettini colorati per la decorazione. Lavorazione: si prepara la sfoglia lavorando insieme, in un contenitore di acciaio o materiale plastico per alimenti, farina, olio, uova, zucchero e rhum in modo da ottenere un impasto morbido e omogeneo, che verrà poi steso in modo da ottenere una sfoglia allungata. Il ripieno viene preparato cuocendo le mele con i restanti ingredienti. Il composto viene distribuito uniformemente sulla sfoglia che verrà arrotolata nel senso della lunghezza. La attorta viene posta in una teglia da forno unta e cotta in forno fino a quando la sfoglia risulterà di un colore dorato. L’attorta può essere decorata con gocce di alchermes, zucchero o confettini colorati. Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per 2 o 3 giorni.";"Contenitori in acciaio o materiale plastico per alimenti; - Mestoli in acciaio; - teglie da forno; - forno.";"Laboratorio di pasticceria; - negozio di vendita con bancone espositore";"Comune di Spoleto"
"BRINGOLI";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Grossi spaghetti fatti a mano con farina e acqua";"Ingredienti: farina di grano tenero, acqua. Lavorazione: gli ingredienti vengono lavorati a mano (o con impastatrice); una volta ottenuto un impasto omogeneo si può procedere in due modi: a) viene tirata la sfoglia con il rasagnolo di legno su spianatoia di legno, dello spessore di circa 5/8 mm.; si tagliano in orizzontale delle strisce di pasta (larghe circa 10 cm.), a loro volta tagliate in piccole strisce (larghe circa 1 cm.), le quali vengono lavorate (arrotolate) a mano sulla spianatoia fino a formare dei grossi spaghetti lunghi circa 20/30 cm.; b) si strappano dall’impasto dei pezzetti di pasta e si lavorano a mano rotolandoli sulla spianatoia fino a formare dei grossi spaghetti lunghi circa 20/30 cm.. Conservazione: essendo un prodotto fresco, va conservato per 1/2 giorni al massimo, a temperatura di circa 4°C, su vassoi per alimenti.";"Impastatrice (se lavorato a macchina); - spianatoia di legno; - rasagnolo di legno.";"Laboratorio per pasta fresca; - bancone-frigorifero (a temperatura di 4°C).";"Comune di Lisciano Niccone (bringoli, brigonzoli), comune di Ficulle (TR) (biche)."
"BROCCOLETTI DEL LAGO";"PRODOTTI VEGETALI ALLO STATO NATURALE O TRASFORMATI";"Infiorescenza e parte tenere del fusto con le foglie. Particolarità del Broccoletto del Lago è che si coltiva nei terreni sabbiosi adiacenti il Lago Trasimeno; questo fattore dà al Broccoletto un sapore “amarognolo” particolare.";"La semina viene effettuata nella seconda decade di agosto. Irrigazioni se necessarie dopo la semina, secondo la stagione. Eventuale concimazione (pre-semina stallatico e/o chimica). Raccolta a fine inverno, inizio primavera";"Tradizionali macchine agricole";"Aperto campo";"Comuni di: Magione, Passignano sul Trasimeno, Tuoro sul Trasimeno, Castiglione del Lago e Panicale."
"BRUSTENGOLO";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Dolce secco, basso di forma rettangolare o rotonda.";"Ingredienti: farina di mais, acqua, mele tagliate a fette, uvetta, pinoli, buccia di limone grattugiata, zucchero, gherigli di noce, semi di anice (oppure mistrà), olio di oliva. Lavorazione: si impasta, a mano o con impastatrice, la farina di mais con acqua calda leggermente salata fino a raggiungere una specie di polenta abbastanza molle. Si aggiungono gli altri ingredienti amalgamando bene il composto. Si stende il composto su una teglia alluminata ben unta fino a raggiungere lo spessore di 2 cm. circa. Si cuoce in forno a 180°C per circa 20/30 minuti. Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per 2/3 giorni al massimo.";"Impastatrice (se lavorato a macchina); - bacina e/o contenitore in acciaio; - Mestoli in acciaio; - teglia da forno alluminata; - forno.";"Laboratorio di pasticceria; - negozio di vendita con bancone espositore.";"Provincia di Perugia."
"CACIOTTA";"FORMAGGI";"Formaggio da taglio prodotto con latte vaccino in forme di 1,5-3 kg di peso, di consistenza morbida e pastosa e sapore dolce, maturato per 15-20 giorni";"Dopo la pastorizzazione a 72°C il latte passa nella polivalente e quando si trova ad una temperatura di circa 38°C si aggiungono i fermenti ed il caglio. Dopo 15-20 minuti si procede alla rottura della cagliata, si fa sgrondare il siero e si effettua la formatura in stampi di diverse dimensioni per ottenere forme con peso variabile da 1.5-3 kg. Le forme vengono messe su dei cassoni chiusi per la stufatura con vapore, poi passano nelle vasche per la salamoia dove restano immerse per circa 12 ore. Si portano nelle celle di maturazione dove rimangono per circa 15-20 giorni a temperature di 4-5°C; vengono fatte asciugare in un locale ventilato con aria calda per un giorno e a questo punto sono pronte per la vendita.";"Pastorizzatore; - polivalente in acciaio inox; - cassoni e condotte di vapore per la stufatura; - stampi di plastica; - vasche per la salamoia; - spino, mestoli e minuterie varie in acciaio inox; - carrelli e tavole su cui si dispongono le forme durante la maturazione.";"Sala per la lavorazione del latte (laboratorio),facilmente lavabile; - celle frigorifere ventilate; - sala di conservazione; - locale di imballaggio e confezionamento";"Regione Umbria"
"CAPOCOLLO";"CARNI (E FRATTAGLIE) FRESCHE E LORO PREPARAZIONE";"Salume di forma cilindrica, si presenta incartato con carta gialla e legato, il suo peso medio varia dai 2.5-3 kg. Una volta tagliato risulta di colore rossastro con venature di grasso.";"Sezionatura: la parte di suino interessata è il collo fino alla VI° costa; 2. disossatura; 3. rifilatura; 4. salagione: si ricopre con un preparato, composto da sale, pepe, aglio e vino bianco e lo si lascia per una settimana; 5. lavaggio e asciugatura; 6. confezionamento con carta gialla e legatura; 7. stagionatura per un periodo che varia dai 30 ai 60 gg., a seconda delle dimensioni. A volte vengono stagionati con il fumo per quattro mesi";"Coltelli di vario tipo, contenitori per mettere sotto sale, cella frigorifero";"Sala di sezionamento, dove il suino viene tagliato nelle varie parti e preparato per l'uso; 2. sala lavorazione: dove si disossa, si sala e si lava il capocollo; 3. sala di asciugamento e/o stagionatura: la prima è a temperatura controllata, la seconda a temperatura naturale";"Regione Umbria"
"CARPA DEL TRASIMENO (Cyprinus carpio)";"PREPARAZIONI DI PESCI, MOLLUSCHI E CROSTACEI";"Corpo robusto, slanciato, appiattito sui fianchi, ricoperto da grosse squame. Presenta dorso bruno, fianchi dorati e ramati, ventre giallastro, pinne pelviche e pinna anale rossastre. Il peso medio e di 5 Kg, la lunghezza va dai 50 ai 60 cm. Carni ottime e gustose";"Tecniche di pesca: tramaglio (retoni da regina), fila, tofo, bottata (raramente), giacchio (in disuso). Usata anche la lenza da fondo (ami: m. 3-6; esche: lombrico e polenta). Pasturazione utile. Fino a taglie max di 2-3 Kg può venire decapitata, sviscerata, spellata, sfilettata, refrigerata. Per taglie superiori si ricorre all’eviscerazione e desquamatura poi al confezionamento e successivo congelamento in tunnel.";"E’ consuetudine mantenere esemplari vivi in vasche di vetroresina idonee all’uso";"Locali, materiali ed attrezzature per la manipolazione e conservazione dell’alimento possiedono i requisiti previsti dalle seguenti norme: L. 283/62, DPR 327/80, D. Lgs 155/97. Il congelamento avviene con tunnel ventilato di piccole capacità, limitatamente al pescato proveniente dalle acque del Lago Trasimeno. Questa soluzione tecnologica è l’unica che, al momento, permette di ottenere una riserva di alimento per soddisfare i fabbisogni del mercato locale con turn-over del prodotto di circa due-tre mesi e, comunque, l’unica adatta ai quantitativi medi disponibili.";"Lago Trasimeno"
"CASTAGNOLE";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Gnocchetti fritti imbevuti di alchermes o cosparsi di miele o zucchero. Esistono due varianti: a) morbide (impasto lento e cremoso); b) dure (impasto morbido ed elastico).";"Ingredienti: farina di grano tenero, uova, mistrà o rhum, buccia di limone grattugiata, olio di semi oppure olio d’oliva oppure burro, un pizzico di lievito chimico, strutto di suino per la frittura. Lavorazione: gli ingredienti vengono lavorati a mano o in impastatrice fino ad ottenere un composto fluido e cremoso. Il composto va coperto e lasciato riposare per circa 15 minuti. Si versa poi l’impasto a cucchiaiate nello strutto bollente; durante la cottura, le castagnole devono aumentare di volume. Infine, vengono scolate su carta assorbente e cosparse di alchermes, miele o zucchero a piacere. Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per 2/3 giorni al massimo";"Contenitori e mestoli in acciaio; - Friggitrice o padella per friggere; - fuochi; - carta assorbente; - vassoi per alimenti";"Laboratorio di pasticceria, con spazio adibito alla frittura; - Negozio di vendita con bancone espositore.";"Regione Umbria"
"CIARAMICOLA";"PASTE FRESCHE E PRODOTTI DELLA PANETTERIA, BISCOTTERIA, PASTICCERIA, CONFETTERIA";"Torta a forma di ciambella, con la pasta a forma di croce al centro, di colore rosso con glassa bianca e confettini colorati di copertura.";"Ingredienti: farina di grano tenero, uova intere, zucchero, strutto o burro, alchermes, rhum; agente lievitante: pirofosfato disodico, sodio bicarbonato e amido di mais; per la glassa: albumi d’uovo montati a neve con lo zucchero; per la decorazione: confettini colorati. Lavorazione: si lavorano insieme farina e agenti lievitanti. Si aggiunge lo strutto (o il burro), lo zucchero, le uova e l’alchermes. Quando gli ingredienti saranno ben amalgamati si aggiunge rapidamente altra farina. L’impasto dovrà risultare alquanto molle. Una parte dell’impasto viene lavorato a forma di un bastone di circa 5 cm. di diametro con il quale si formerà una ciambella che viene sistemata su una teglia ben unta; con un’altra parte di impasto si formano due rotolini di circa 2 cm. di diametro, che verranno sistemati a croce nel centro della ciambella. Con la restante pasta si formano 5 sfere da poggiare sugli incroci e al centro della croce. Con le forbici si intagliano i bordi e le sfere della ciaramicola. Tutte queste operazioni vengono fatte molto rapidamente altrimenti il lievito perderà la sua azione. La ciaramicola si cuoce in forno caldo a 180°-200° C; a cottura ultimata, ancora bollente, viene spennellata la glassa sopra la ciaramicola decorata con confettini colorati. La glassa si rassoderà con il solo calore della torta appena sfornata, oppure viene rimessa in forno tiepido per pochi minuti Conservazione: il prodotto fresco va conservato ad una temperatura di circa 6°/8° C per 2/3 giorni al massimo.";"Piano d’acciaio per l’impastatura; - Teglie o stampi da forno; - Forno.";"Locale da pasticceria; - Negozio di vendita con bancone espositore.";"Provincia di Perugia"
